,tripid,pickup_node,dropoff_node,pickup_day,pickup_hour,pickup_minute,pickup_datetime,route,dropoff_datetime,trip_duration,node_timestamps,route_length,passenger_count,provider,total_price
1086,1086,306225000,307661801,1,20,43,2022-01-01 20:43:00,"[306225000, 306224552, 306225009, 306225011, 306225115, 306221900, 306222385, 306222128, 307662242, 309450366, 307662284, 307661801]",2022-01-01 20:44:50.700,110.7,"{306225000: '2022-01-01 20:43:00', 306224552: '2022-01-01 20:43:10', 306225009: '2022-01-01 20:43:20', 306225011: '2022-01-01 20:43:30', 306225115: '2022-01-01 20:43:40', 306221900: '2022-01-01 20:43:50', 306222385: '2022-01-01 20:44:00', 306222128: '2022-01-01 20:44:10', 307662242: '2022-01-01 20:44:20', 309450366: '2022-01-01 20:44:30', 307662284: '2022-01-01 20:44:40', 307661801: '2022-01-01 20:44:50'}",912.2864193049147,2,2,4.450723264815215
1087,1087,307664334,306219024,1,13,18,2022-01-01 13:18:00,"[307664334, 307664242, 307664257, 290333443, 290333444, 304525639, 307663269, 307662889, 307662284, 309450366, 307662242, 306222128, 309450229, 306226719, 306222462, 306218723, 306219024]",2022-01-01 13:27:07.400,547.4,"{307664334: '2022-01-01 13:18:00', 307664242: '2022-01-01 13:18:34', 307664257: '2022-01-01 13:19:08', 290333443: '2022-01-01 13:19:42', 290333444: '2022-01-01 13:20:16', 304525639: '2022-01-01 13:20:51', 307663269: '2022-01-01 13:21:25', 307662889: '2022-01-01 13:21:59', 307662284: '2022-01-01 13:22:33', 309450366: '2022-01-01 13:23:07', 307662242: '2022-01-01 13:23:42', 306222128: '2022-01-01 13:24:16', 309450229: '2022-01-01 13:24:50', 306226719: '2022-01-01 13:25:24', 306222462: '2022-01-01 13:25:58', 306218723: '2022-01-01 13:26:33', 306219024: '2022-01-01 13:27:07'}",4444.784844238556,3,3,3.3802893059260857
1088,1088,306222385,3023405356,1,20,27,2022-01-01 20:27:00,"[306222385, 306221900, 306225115, 306225011, 306225009, 306224552, 306225000, 306221765, 306221807, 306221802, 3023405356]",2022-01-01 20:28:27.700,87.7,"{306222385: '2022-01-01 20:27:00', 306221900: '2022-01-01 20:27:08', 306225115: '2022-01-01 20:27:17', 306225011: '2022-01-01 20:27:26', 306225009: '2022-01-01 20:27:35', 306224552: '2022-01-01 20:27:43', 306225000: '2022-01-01 20:27:52', 306221765: '2022-01-01 20:28:01', 306221807: '2022-01-01 20:28:10', 306221802: '2022-01-01 20:28:18', 3023405356: '2022-01-01 20:28:27'}",723.2174652915023,3,2,4.450723264815215
1089,1089,304525639,309441548,1,23,57,2022-01-01 23:57:00,"[304525639, 307663269, 307662889, 307662284, 309450366, 307662242, 306222128, 306222385, 306221900, 306221960, 306222676, 306221941, 399384843, 306221950, 309441547, 309441548]",2022-01-02 00:02:40.200,340.2,"{304525639: '2022-01-01 23:57:00', 307663269: '2022-01-01 23:57:22', 307662889: '2022-01-01 23:57:45', 307662284: '2022-01-01 23:58:08', 309450366: '2022-01-01 23:58:30', 307662242: '2022-01-01 23:58:53', 306222128: '2022-01-01 23:59:16', 306222385: '2022-01-01 23:59:38', 306221900: '2022-01-02 00:00:01', 306221960: '2022-01-02 00:00:24', 306222676: '2022-01-02 00:00:46', 306221941: '2022-01-02 00:01:09', 399384843: '2022-01-02 00:01:32', 306221950: '2022-01-02 00:01:54', 309441547: '2022-01-02 00:02:17', 309441548: '2022-01-02 00:02:40'}",2808.2406175994806,1,1,5.690144652963043
1090,1090,3023405356,307662149,1,17,54,2022-01-01 17:54:00,"[3023405356, 306221802, 306221807, 306221765, 306225000, 306221653, 306225011, 306225115, 306221900, 306222385, 306222128, 307662242, 309450366, 307662284, 307661801, 307662149]",2022-01-01 17:56:27.100,147.1,"{3023405356: '2022-01-01 17:54:00', 306221802: '2022-01-01 17:54:09', 306221807: '2022-01-01 17:54:19', 306221765: '2022-01-01 17:54:29', 306225000: '2022-01-01 17:54:39', 306221653: '2022-01-01 17:54:49', 306225011: '2022-01-01 17:54:58', 306225115: '2022-01-01 17:55:08', 306221900: '2022-01-01 17:55:18', 306222385: '2022-01-01 17:55:28', 306222128: '2022-01-01 17:55:38', 307662242: '2022-01-01 17:55:47', 309450366: '2022-01-01 17:55:57', 307662284: '2022-01-01 17:56:07', 307661801: '2022-01-01 17:56:17', 307662149: '2022-01-01 17:56:27'}",1209.4362119870168,2,3,3.3802893059260857
1091,1091,290333400,309450234,1,22,34,2022-01-01 22:34:00,"[290333400, 290333444, 304525639, 307663269, 307662889, 307662284, 309450366, 354863048, 307662238, 354863308, 309450234]",2022-01-01 22:38:43.100,283.1,"{290333400: '2022-01-01 22:34:00', 290333444: '2022-01-01 22:34:28', 304525639: '2022-01-01 22:34:56', 307663269: '2022-01-01 22:35:24', 307662889: '2022-01-01 22:35:53', 307662284: '2022-01-01 22:36:21', 309450366: '2022-01-01 22:36:49', 354863048: '2022-01-01 22:37:18', 307662238: '2022-01-01 22:37:46', 354863308: '2022-01-01 22:38:14', 309450234: '2022-01-01 22:38:43'}",2321.844615490094,4,1,5.690144652963043
1092,1092,354863048,297675884,1,14,22,2022-01-01 14:22:00,"[354863048, 309450366, 307662284, 307662889, 307663269, 297675884]",2022-01-01 14:25:55.100,235.1,"{354863048: '2022-01-01 14:22:00', 309450366: '2022-01-01 14:22:47', 307662284: '2022-01-01 14:23:34', 307662889: '2022-01-01 14:24:21', 307663269: '2022-01-01 14:25:08', 297675884: '2022-01-01 14:25:55'}",1947.5573984410162,2,3,3.3802893059260857
1093,1093,290333444,1479963453,1,23,42,2022-01-01 23:42:00,"[290333444, 304525639, 307663269, 307662889, 307662284, 309450366, 307662242, 306222128, 306222385, 306221900, 306221960, 306222676, 306221941, 399384843, 306221950, 309441547, 309441548, 309441562, 1479963453]",2022-01-01 23:49:11.400,431.4,"{290333444: '2022-01-01 23:42:00', 304525639: '2022-01-01 23:42:23', 307663269: '2022-01-01 23:42:47', 307662889: '2022-01-01 23:43:11', 307662284: '2022-01-01 23:43:35', 309450366: '2022-01-01 23:43:59', 307662242: '2022-01-01 23:44:23', 306222128: '2022-01-01 23:44:47', 306222385: '2022-01-01 23:45:11', 306221900: '2022-01-01 23:45:35', 306221960: '2022-01-01 23:45:59', 306222676: '2022-01-01 23:46:23', 306221941: '2022-01-01 23:46:47', 399384843: '2022-01-01 23:47:11', 306221950: '2022-01-01 23:47:35', 309441547: '2022-01-01 23:47:59', 309441548: '2022-01-01 23:48:23', 309441562: '2022-01-01 23:48:47', 1479963453: '2022-01-01 23:49:11'}",3560.8166965535006,4,1,5.690144652963043
1094,1094,290333444,309450366,1,11,44,2022-01-01 11:44:00,"[290333444, 304525639, 307663269, 307662889, 307662284, 309450366]",2022-01-01 11:48:00.000,240.0,"{290333444: '2022-01-01 11:44:00', 304525639: '2022-01-01 11:44:48', 307663269: '2022-01-01 11:45:36', 307662889: '2022-01-01 11:46:24', 307662284: '2022-01-01 11:47:12', 309450366: '2022-01-01 11:48:00'}",1978.435262102732,3,2,4.450723264815215
1095,1095,309441562,3023405360,1,16,49,2022-01-01 16:49:00,"[309441562, 309441547, 306221950, 3023405356, 306221802, 306221807, 306221765, 3023405360]",2022-01-01 16:51:23.200,143.2,"{309441562: '2022-01-01 16:49:00', 309441547: '2022-01-01 16:49:20', 306221950: '2022-01-01 16:49:40', 3023405356: '2022-01-01 16:50:01', 306221802: '2022-01-01 16:50:21', 306221807: '2022-01-01 16:50:42', 306221765: '2022-01-01 16:51:02', 3023405360: '2022-01-01 16:51:23'}",1185.7016981376153,1,1,5.690144652963043
1096,1096,309450366,308304288,1,1,44,2022-01-01 01:44:00,"[309450366, 307662242, 306222128, 306222385, 306221900, 306225115, 306225011, 306221653, 306225000, 306221765, 306221807, 306221802, 306221804, 308304289, 308304288]",2022-01-01 01:46:28.900,148.9,"{309450366: '2022-01-01 01:44:00', 307662242: '2022-01-01 01:44:10', 306222128: '2022-01-01 01:44:21', 306222385: '2022-01-01 01:44:31', 306221900: '2022-01-01 01:44:42', 306225115: '2022-01-01 01:44:53', 306225011: '2022-01-01 01:45:03', 306221653: '2022-01-01 01:45:14', 306225000: '2022-01-01 01:45:25', 306221765: '2022-01-01 01:45:35', 306221807: '2022-01-01 01:45:46', 306221802: '2022-01-01 01:45:56', 306221804: '2022-01-01 01:46:07', 308304289: '2022-01-01 01:46:18', 308304288: '2022-01-01 01:46:28'}",1224.9577566903918,4,1,5.690144652963043
1097,1097,307662199,297675884,1,21,9,2022-01-01 21:09:00,"[307662199, 307662198, 307661801, 307662284, 307662889, 307663269, 297675884]",2022-01-01 21:12:41.300,221.3,"{307662199: '2022-01-01 21:09:00', 307662198: '2022-01-01 21:09:36', 307661801: '2022-01-01 21:10:13', 307662284: '2022-01-01 21:10:50', 307662889: '2022-01-01 21:11:27', 307663269: '2022-01-01 21:12:04', 297675884: '2022-01-01 21:12:41'}",1831.3951946215002,3,3,3.3802893059260857
1098,1098,307662242,309441548,1,3,18,2022-01-01 03:18:00,"[307662242, 306222128, 306222385, 306221900, 306221960, 306222676, 306221941, 399384843, 306221950, 309441547, 309441548]",2022-01-01 03:19:54.200,114.2,"{307662242: '2022-01-01 03:18:00', 306222128: '2022-01-01 03:18:11', 306222385: '2022-01-01 03:18:22', 306221900: '2022-01-01 03:18:34', 306221960: '2022-01-01 03:18:45', 306222676: '2022-01-01 03:18:57', 306221941: '2022-01-01 03:19:08', 399384843: '2022-01-01 03:19:19', 306221950: '2022-01-01 03:19:31', 309441547: '2022-01-01 03:19:42', 309441548: '2022-01-01 03:19:54'}",942.8526073420524,1,1,5.690144652963043
1099,1099,307662238,306225011,1,17,38,2022-01-01 17:38:00,"[307662238, 354863308, 1633571571, 309450229, 306222128, 306222385, 306221900, 306225115, 306225011]",2022-01-01 17:39:09.200,69.2,"{307662238: '2022-01-01 17:38:00', 354863308: '2022-01-01 17:38:08', 1633571571: '2022-01-01 17:38:17', 309450229: '2022-01-01 17:38:25', 306222128: '2022-01-01 17:38:34', 306222385: '2022-01-01 17:38:43', 306221900: '2022-01-01 17:38:51', 306225115: '2022-01-01 17:39:00', 306225011: '2022-01-01 17:39:09'}",572.0948124903185,4,2,4.450723264815215
1100,1100,306221960,309441547,1,12,44,2022-01-01 12:44:00,"[306221960, 306222676, 306221941, 399384843, 306221950, 309441547]",2022-01-01 12:45:23.700,83.7,"{306221960: '2022-01-01 12:44:00', 306222676: '2022-01-01 12:44:16', 306221941: '2022-01-01 12:44:33', 399384843: '2022-01-01 12:44:50', 306221950: '2022-01-01 12:45:06', 309441547: '2022-01-01 12:45:23'}",690.7260390488132,2,1,5.690144652963043
1101,1101,291556214,307662149,1,7,5,2022-01-01 07:05:00,"[291556214, 297675884, 307663269, 307662889, 307662284, 307661801, 307662149]",2022-01-01 07:09:35.100,275.1,"{291556214: '2022-01-01 07:05:00', 297675884: '2022-01-01 07:05:45', 307663269: '2022-01-01 07:06:31', 307662889: '2022-01-01 07:07:17', 307662284: '2022-01-01 07:08:03', 307661801: '2022-01-01 07:08:49', 307662149: '2022-01-01 07:09:35'}",2270.7001995972596,4,1,5.690144652963043
1102,1102,306222383,280324476,1,20,37,2022-01-01 20:37:00,"[306222383, 306222385, 306222128, 307662242, 309450366, 307662284, 307662889, 280324485, 280324476]",2022-01-01 20:41:58.400,298.4,"{306222383: '2022-01-01 20:37:00', 306222385: '2022-01-01 20:37:37', 306222128: '2022-01-01 20:38:14', 307662242: '2022-01-01 20:38:51', 309450366: '2022-01-01 20:39:29', 307662284: '2022-01-01 20:40:06', 307662889: '2022-01-01 20:40:43', 280324485: '2022-01-01 20:41:21', 280324476: '2022-01-01 20:41:58'}",2416.436190654212,1,3,3.3802893059260857
1103,1103,307664334,3023405360,1,10,23,2022-01-01 10:23:00,"[307664334, 307664242, 307664257, 290333443, 290333444, 304525639, 307663269, 307662889, 307662284, 309450366, 307662242, 306222128, 306222385, 306221900, 306225115, 306225011, 306225009, 306224552, 306225000, 306221765, 3023405360]",2022-01-01 10:29:33.500,393.5,"{307664334: '2022-01-01 10:23:00', 307664242: '2022-01-01 10:23:19', 307664257: '2022-01-01 10:23:39', 290333443: '2022-01-01 10:23:59', 290333444: '2022-01-01 10:24:18', 304525639: '2022-01-01 10:24:38', 307663269: '2022-01-01 10:24:58', 307662889: '2022-01-01 10:25:17', 307662284: '2022-01-01 10:25:37', 309450366: '2022-01-01 10:25:57', 307662242: '2022-01-01 10:26:16', 306222128: '2022-01-01 10:26:36', 306222385: '2022-01-01 10:26:56', 306221900: '2022-01-01 10:27:15', 306225115: '2022-01-01 10:27:35', 306225011: '2022-01-01 10:27:55', 306225009: '2022-01-01 10:28:14', 306224552: '2022-01-01 10:28:34', 306225000: '2022-01-01 10:28:54', 306221765: '2022-01-01 10:29:13', 3023405360: '2022-01-01 10:29:33'}",3219.328109792539,1,2,4.450723264815215
1104,1104,309450229,308304288,1,17,46,2022-01-01 17:46:00,"[309450229, 306222128, 306222385, 306221900, 306225115, 306225011, 306221653, 306225000, 306221765, 306221807, 306221802, 306221804, 308304289, 308304288]",2022-01-01 17:48:11.600,131.6,"{309450229: '2022-01-01 17:46:00', 306222128: '2022-01-01 17:46:10', 306222385: '2022-01-01 17:46:20', 306221900: '2022-01-01 17:46:30', 306225115: '2022-01-01 17:46:40', 306225011: '2022-01-01 17:46:50', 306221653: '2022-01-01 17:47:00', 306225000: '2022-01-01 17:47:10', 306221765: '2022-01-01 17:47:20', 306221807: '2022-01-01 17:47:31', 306221802: '2022-01-01 17:47:41', 306221804: '2022-01-01 17:47:51', 308304289: '2022-01-01 17:48:01', 308304288: '2022-01-01 17:48:11'}",1082.3067332746348,2,1,5.690144652963043
1105,1105,1479963453,307662284,1,12,36,2022-01-01 12:36:00,"[1479963453, 309441562, 309441547, 306221950, 399384843, 306221941, 306222676, 306221960, 306221900, 306222385, 306222128, 307662242, 309450366, 307662284]",2022-01-01 12:39:22.500,202.5,"{1479963453: '2022-01-01 12:36:00', 309441562: '2022-01-01 12:36:15', 309441547: '2022-01-01 12:36:31', 306221950: '2022-01-01 12:36:46', 399384843: '2022-01-01 12:37:02', 306221941: '2022-01-01 12:37:17', 306222676: '2022-01-01 12:37:33', 306221960: '2022-01-01 12:37:49', 306221900: '2022-01-01 12:38:04', 306222385: '2022-01-01 12:38:20', 306222128: '2022-01-01 12:38:35', 307662242: '2022-01-01 12:38:51', 309450366: '2022-01-01 12:39:06', 307662284: '2022-01-01 12:39:22'}",1673.8708089946815,2,1,5.690144652963043
1106,1106,309441548,290333443,1,11,47,2022-01-01 11:47:00,"[309441548, 309441562, 309441547, 306221950, 399384843, 306221941, 306222676, 306221960, 306221900, 306222385, 306222128, 307662242, 309450366, 307662284, 307662889, 307663269, 304525639, 290333444, 290333443]",2022-01-01 11:53:08.100,368.1,"{309441548: '2022-01-01 11:47:00', 309441562: '2022-01-01 11:47:20', 309441547: '2022-01-01 11:47:40', 306221950: '2022-01-01 11:48:01', 399384843: '2022-01-01 11:48:21', 306221941: '2022-01-01 11:48:42', 306222676: '2022-01-01 11:49:02', 306221960: '2022-01-01 11:49:23', 306221900: '2022-01-01 11:49:43', 306222385: '2022-01-01 11:50:04', 306222128: '2022-01-01 11:50:24', 307662242: '2022-01-01 11:50:44', 309450366: '2022-01-01 11:51:05', 307662284: '2022-01-01 11:51:25', 307662889: '2022-01-01 11:51:46', 307663269: '2022-01-01 11:52:06', 304525639: '2022-01-01 11:52:27', 290333444: '2022-01-01 11:52:47', 290333443: '2022-01-01 11:53:08'}",3036.375357174466,4,2,4.450723264815215
1107,1107,7756059836,306225011,1,14,23,2022-01-01 14:23:00,"[7756059836, 7756059845, 307662149, 307661801, 307662284, 309450366, 307662242, 306222128, 306222385, 306221900, 306225115, 306225011]",2022-01-01 14:24:38.400,98.4,"{7756059836: '2022-01-01 14:23:00', 7756059845: '2022-01-01 14:23:08', 307662149: '2022-01-01 14:23:17', 307661801: '2022-01-01 14:23:26', 307662284: '2022-01-01 14:23:35', 309450366: '2022-01-01 14:23:44', 307662242: '2022-01-01 14:23:53', 306222128: '2022-01-01 14:24:02', 306222385: '2022-01-01 14:24:11', 306221900: '2022-01-01 14:24:20', 306225115: '2022-01-01 14:24:29', 306225011: '2022-01-01 14:24:38'}",809.4735825261672,2,3,3.3802893059260857
1108,1108,307662284,280430536,1,1,52,2022-01-01 01:52:00,"[307662284, 307661801, 280430536]",2022-01-01 01:52:32.000,32.0,"{307662284: '2022-01-01 01:52:00', 307661801: '2022-01-01 01:52:16', 280430536: '2022-01-01 01:52:32'}",264.9542176920005,4,3,3.3802893059260857
1109,1109,306222128,307662149,1,7,25,2022-01-01 07:25:00,"[306222128, 307662242, 309450366, 307662284, 307661801, 307662149]",2022-01-01 07:25:45.700,45.7,"{306222128: '2022-01-01 07:25:00', 307662242: '2022-01-01 07:25:09', 309450366: '2022-01-01 07:25:18', 307662284: '2022-01-01 07:25:27', 307661801: '2022-01-01 07:25:36', 307662149: '2022-01-01 07:25:45'}",377.9026565291822,2,1,5.690144652963043
1110,1110,307662242,307664257,1,23,13,2022-01-01 23:13:00,"[307662242, 309450366, 307662284, 307662889, 307663269, 304525639, 290333444, 290333443, 307664257]",2022-01-01 23:17:16.200,256.2,"{307662242: '2022-01-01 23:13:00', 309450366: '2022-01-01 23:13:32', 307662284: '2022-01-01 23:14:04', 307662889: '2022-01-01 23:14:36', 307663269: '2022-01-01 23:15:08', 304525639: '2022-01-01 23:15:40', 290333444: '2022-01-01 23:16:12', 290333443: '2022-01-01 23:16:44', 307664257: '2022-01-01 23:17:16'}",2113.631110646723,3,2,4.450723264815215
1111,1111,306221671,306221950,1,10,18,2022-01-01 10:18:00,"[306221671, 306221807, 306221802, 3023405356, 306221950]",2022-01-01 10:19:18.800,78.8,"{306221671: '2022-01-01 10:18:00', 306221807: '2022-01-01 10:18:19', 306221802: '2022-01-01 10:18:39', 3023405356: '2022-01-01 10:18:59', 306221950: '2022-01-01 10:19:18'}",649.3619467623059,2,2,4.450723264815215
1112,1112,307664257,307662242,1,11,40,2022-01-01 11:40:00,"[307664257, 290333443, 290333444, 304525639, 307663269, 307662889, 307662284, 309450366, 307662242]",2022-01-01 11:44:16.200,256.2,"{307664257: '2022-01-01 11:40:00', 290333443: '2022-01-01 11:40:32', 290333444: '2022-01-01 11:41:04', 304525639: '2022-01-01 11:41:36', 307663269: '2022-01-01 11:42:08', 307662889: '2022-01-01 11:42:40', 307662284: '2022-01-01 11:43:12', 309450366: '2022-01-01 11:43:44', 307662242: '2022-01-01 11:44:16'}",2113.6311106467224,2,3,3.3802893059260857
1113,1113,306221765,306221950,1,6,42,2022-01-01 06:42:00,"[306221765, 306221807, 306221802, 3023405356, 306221950]",2022-01-01 06:43:19.000,79.0,"{306221765: '2022-01-01 06:42:00', 306221807: '2022-01-01 06:42:19', 306221802: '2022-01-01 06:42:39', 3023405356: '2022-01-01 06:42:59', 306221950: '2022-01-01 06:43:19'}",654.3535055246109,1,1,5.690144652963043
1114,1114,290333858,1633571571,1,22,28,2022-01-01 22:28:00,"[290333858, 307664257, 290333443, 290333444, 304525639, 307663269, 307662889, 307662284, 309450366, 307662242, 306222128, 309450229, 1633571571]",2022-01-01 22:33:29.900,329.9,"{290333858: '2022-01-01 22:28:00', 307664257: '2022-01-01 22:28:27', 290333443: '2022-01-01 22:28:54', 290333444: '2022-01-01 22:29:22', 304525639: '2022-01-01 22:29:49', 307663269: '2022-01-01 22:30:17', 307662889: '2022-01-01 22:30:44', 307662284: '2022-01-01 22:31:12', 309450366: '2022-01-01 22:31:39', 307662242: '2022-01-01 22:32:07', 306222128: '2022-01-01 22:32:34', 309450229: '2022-01-01 22:33:02', 1633571571: '2022-01-01 22:33:29'}",2714.6234650344463,3,1,5.690144652963043
1115,1115,354863308,306221950,1,1,18,2022-01-01 01:18:00,"[354863308, 1633571571, 309450229, 306222128, 306222385, 306221900, 306221960, 306222676, 306221941, 399384843, 306221950]",2022-01-01 01:19:14.900,74.9,"{354863308: '2022-01-01 01:18:00', 1633571571: '2022-01-01 01:18:07', 309450229: '2022-01-01 01:18:14', 306222128: '2022-01-01 01:18:22', 306222385: '2022-01-01 01:18:29', 306221900: '2022-01-01 01:18:37', 306221960: '2022-01-01 01:18:44', 306222676: '2022-01-01 01:18:52', 306221941: '2022-01-01 01:18:59', 399384843: '2022-01-01 01:19:07', 306221950: '2022-01-01 01:19:14'}",616.9235647373685,3,3,3.3802893059260857
1116,1116,306222383,306221653,1,12,23,2022-01-01 12:23:00,"[306222383, 306222385, 306221900, 306225115, 306225011, 306221653]",2022-01-01 12:23:44.600,44.6,"{306222383: '2022-01-01 12:23:00', 306222385: '2022-01-01 12:23:08', 306221900: '2022-01-01 12:23:17', 306225115: '2022-01-01 12:23:26', 306225011: '2022-01-01 12:23:35', 306221653: '2022-01-01 12:23:44'}",356.4369335605536,1,1,5.690144652963043
1117,1117,309450229,306221807,1,13,20,2022-01-01 13:20:00,"[309450229, 306222128, 306222385, 306221900, 306225115, 306225011, 306225009, 306224552, 306225000, 306221765, 306221807]",2022-01-01 13:21:24.600,84.6,"{309450229: '2022-01-01 13:20:00', 306222128: '2022-01-01 13:20:08', 306222385: '2022-01-01 13:20:16', 306221900: '2022-01-01 13:20:25', 306225115: '2022-01-01 13:20:33', 306225011: '2022-01-01 13:20:42', 306225009: '2022-01-01 13:20:50', 306224552: '2022-01-01 13:20:59', 306225000: '2022-01-01 13:21:07', 306221765: '2022-01-01 13:21:16', 306221807: '2022-01-01 13:21:24'}",697.6618532106133,3,1,5.690144652963043
1118,1118,307662242,306221950,1,21,12,2022-01-01 21:12:00,"[307662242, 306222128, 306222385, 306221900, 306221960, 306222676, 306221941, 399384843, 306221950]",2022-01-01 21:13:01.900,61.9,"{307662242: '2022-01-01 21:12:00', 306222128: '2022-01-01 21:12:07', 306222385: '2022-01-01 21:12:15', 306221900: '2022-01-01 21:12:23', 306221960: '2022-01-01 21:12:30', 306222676: '2022-01-01 21:12:38', 306221941: '2022-01-01 21:12:46', 399384843: '2022-01-01 21:12:54', 306221950: '2022-01-01 21:13:01'}",507.48293205515034,3,1,5.690144652963043
1119,1119,309450344,306225000,1,19,40,2022-01-01 19:40:00,"[309450344, 309450340, 1633571571, 309450229, 306222128, 306222385, 306221900, 306225115, 306225011, 306225009, 306224552, 306225000]",2022-01-01 19:41:41.300,101.3,"{309450344: '2022-01-01 19:40:00', 309450340: '2022-01-01 19:40:09', 1633571571: '2022-01-01 19:40:18', 309450229: '2022-01-01 19:40:27', 306222128: '2022-01-01 19:40:36', 306222385: '2022-01-01 19:40:46', 306221900: '2022-01-01 19:40:55', 306225115: '2022-01-01 19:41:04', 306225011: '2022-01-01 19:41:13', 306225009: '2022-01-01 19:41:22', 306224552: '2022-01-01 19:41:32', 306225000: '2022-01-01 19:41:41'}",836.5069580215606,1,3,3.3802893059260857
1120,1120,354863308,291556214,1,3,5,2022-01-01 03:05:00,"[354863308, 307662238, 354863048, 309450366, 307662284, 307662889, 307663269, 297675884, 291556214]",2022-01-01 03:10:07.700,307.7,"{354863308: '2022-01-01 03:05:00', 307662238: '2022-01-01 03:05:38', 354863048: '2022-01-01 03:06:16', 309450366: '2022-01-01 03:06:55', 307662284: '2022-01-01 03:07:33', 307662889: '2022-01-01 03:08:12', 307663269: '2022-01-01 03:08:50', 297675884: '2022-01-01 03:09:29', 291556214: '2022-01-01 03:10:07'}",2527.240433623235,4,3,3.3802893059260857
1121,1121,7756059845,304525639,1,12,54,2022-01-01 12:54:00,"[7756059845, 307662149, 307661801, 307662284, 307662889, 307663269, 304525639]",2022-01-01 12:57:52.300,232.3,"{7756059845: '2022-01-01 12:54:00', 307662149: '2022-01-01 12:54:38', 307661801: '2022-01-01 12:55:17', 307662284: '2022-01-01 12:55:56', 307662889: '2022-01-01 12:56:34', 307663269: '2022-01-01 12:57:13', 304525639: '2022-01-01 12:57:52'}",1915.928194035979,4,2,4.450723264815215
1122,1122,309450366,306221807,1,18,49,2022-01-01 18:49:00,"[309450366, 307662242, 306222128, 306222385, 306221900, 306225115, 306225011, 306225009, 306224552, 306225000, 306221765, 306221807]",2022-01-01 18:50:41.900,101.9,"{309450366: '2022-01-01 18:49:00', 307662242: '2022-01-01 18:49:09', 306222128: '2022-01-01 18:49:18', 306222385: '2022-01-01 18:49:27', 306221900: '2022-01-01 18:49:37', 306225115: '2022-01-01 18:49:46', 306225011: '2022-01-01 18:49:55', 306225009: '2022-01-01 18:50:04', 306224552: '2022-01-01 18:50:14', 306225000: '2022-01-01 18:50:23', 306221765: '2022-01-01 18:50:32', 306221807: '2022-01-01 18:50:41'}",840.3128766263701,4,1,5.690144652963043
1123,1123,307662889,280324485,1,12,40,2022-01-01 12:40:00,"[307662889, 280324485]",2022-01-01 12:41:49.300,109.3,"{307662889: '2022-01-01 12:40:00', 280324485: '2022-01-01 12:41:49'}",901.3727285760057,4,2,4.450723264815215
1124,1124,307664242,307663269,1,4,15,2022-01-01 04:15:00,"[307664242, 307664257, 290333443, 290333444, 304525639, 307663269]",2022-01-01 04:16:15.100,75.1,"{307664242: '2022-01-01 04:15:00', 307664257: '2022-01-01 04:15:15', 290333443: '2022-01-01 04:15:30', 290333444: '2022-01-01 04:15:45', 304525639: '2022-01-01 04:16:00', 307663269: '2022-01-01 04:16:15'}",589.0494945257951,3,2,4.450723264815215
1125,1125,280324485,307661801,1,2,52,2022-01-01 02:52:00,"[280324485, 307662889, 307662284, 307661801]",2022-01-01 02:55:47.200,227.2,"{280324485: '2022-01-01 02:52:00', 307662889: '2022-01-01 02:53:15', 307662284: '2022-01-01 02:54:31', 307661801: '2022-01-01 02:55:47'}",1875.987604666276,3,3,3.3802893059260857
1126,1126,3023405360,306221671,1,6,24,2022-01-01 06:24:00,"[3023405360, 306221765, 306221807, 306221671]",2022-01-01 06:24:32.100,32.1,"{3023405360: '2022-01-01 06:24:00', 306221765: '2022-01-01 06:24:10', 306221807: '2022-01-01 06:24:21', 306221671: '2022-01-01 06:24:32'}",261.2999048954549,4,2,4.450723264815215
1127,1127,354863048,306222128,1,1,12,2022-01-01 01:12:00,"[354863048, 309450366, 307662242, 306222128]",2022-01-01 01:12:35.500,35.5,"{354863048: '2022-01-01 01:12:00', 309450366: '2022-01-01 01:12:11', 307662242: '2022-01-01 01:12:23', 306222128: '2022-01-01 01:12:35'}",294.3126526969133,3,2,4.450723264815215
1128,1128,306221807,306221950,1,13,50,2022-01-01 13:50:00,"[306221807, 306221802, 3023405356, 306221950]",2022-01-01 13:51:08.500,68.5,"{306221807: '2022-01-01 13:50:00', 306221802: '2022-01-01 13:50:22', 3023405356: '2022-01-01 13:50:45', 306221950: '2022-01-01 13:51:08'}",567.1002094576461,1,3,3.3802893059260857
1129,1129,306219024,297675884,1,2,24,2022-01-01 02:24:00,"[306219024, 306218723, 306222462, 306226719, 309450229, 306222128, 307662242, 309450366, 307662284, 307662889, 307663269, 297675884]",2022-01-01 02:31:54.100,474.1,"{306219024: '2022-01-01 02:24:00', 306218723: '2022-01-01 02:24:43', 306222462: '2022-01-01 02:25:26', 306226719: '2022-01-01 02:26:09', 309450229: '2022-01-01 02:26:52', 306222128: '2022-01-01 02:27:35', 307662242: '2022-01-01 02:28:18', 309450366: '2022-01-01 02:29:01', 307662284: '2022-01-01 02:29:44', 307662889: '2022-01-01 02:30:27', 307663269: '2022-01-01 02:31:11', 297675884: '2022-01-01 02:31:54'}",3870.9772708205473,2,3,3.3802893059260857
1130,1130,308304289,306219024,1,18,12,2022-01-01 18:12:00,"[308304289, 306218723, 306219024]",2022-01-01 18:14:55.600,175.6,"{308304289: '2022-01-01 18:12:00', 306218723: '2022-01-01 18:13:27', 306219024: '2022-01-01 18:14:55'}",1410.2005607678743,4,3,3.3802893059260857
