,Pickup Square,Dropoff Square,Pickup Time,Pickup Hour,Pickup Minute,Pickup Weekday,Pickup Coordinates,Dropoff Coordinates,Manhattan Distance,Paths,Path Timestamp
1444,31,91,2021-01-02 08:30:00,20,30,2,"(1, 3)","(1, 9)",6,"[[1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [1, 9]]","{(1, 3): '2021-01-02 08:30:00', (1, 4): '2021-01-02 08:31:00', (1, 5): '2021-01-02 08:32:00', (1, 6): '2021-01-02 08:33:00', (1, 7): '2021-01-02 08:34:00', (1, 8): '2021-01-02 08:35:00', (1, 9): '2021-01-02 08:36:00'}"
1445,3,40,2021-01-02 11:43:00,23,43,0,"(3, 0)","(0, 4)",7,"[[3, 0], [2, 0], [1, 0], [0, 0], [0, 1], [0, 2], [0, 3], [0, 4]]","{(3, 0): '2021-01-02 11:43:00', (2, 0): '2021-01-02 11:44:00', (1, 0): '2021-01-02 11:45:00', (0, 0): '2021-01-02 11:46:00', (0, 1): '2021-01-02 11:47:00', (0, 2): '2021-01-02 11:48:00', (0, 3): '2021-01-02 11:49:00', (0, 4): '2021-01-02 11:50:00'}"
1446,11,9,2021-01-02 00:15:00,12,15,4,"(1, 1)","(9, 0)",9,"[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [8, 1], [9, 1], [9, 0]]","{(1, 1): '2021-01-02 00:15:00', (2, 1): '2021-01-02 00:16:00', (3, 1): '2021-01-02 00:17:00', (4, 1): '2021-01-02 00:18:00', (5, 1): '2021-01-02 00:19:00', (6, 1): '2021-01-02 00:20:00', (7, 1): '2021-01-02 00:21:00', (8, 1): '2021-01-02 00:22:00', (9, 1): '2021-01-02 00:23:00', (9, 0): '2021-01-02 00:24:00'}"
1447,89,23,2021-01-02 02:49:00,14,49,5,"(9, 8)","(3, 2)",12,"[[9, 8], [8, 8], [7, 8], [6, 8], [5, 8], [4, 8], [3, 8], [3, 7], [3, 6], [3, 5], [3, 4], [3, 3], [3, 2]]","{(9, 8): '2021-01-02 02:49:00', (8, 8): '2021-01-02 02:50:00', (7, 8): '2021-01-02 02:51:00', (6, 8): '2021-01-02 02:52:00', (5, 8): '2021-01-02 02:53:00', (4, 8): '2021-01-02 02:54:00', (3, 8): '2021-01-02 02:55:00', (3, 7): '2021-01-02 02:56:00', (3, 6): '2021-01-02 02:57:00', (3, 5): '2021-01-02 02:58:00', (3, 4): '2021-01-02 02:59:00', (3, 3): '2021-01-02 03:00:00', (3, 2): '2021-01-02 03:01:00'}"
1448,77,45,2021-01-02 09:00:00,21,0,4,"(7, 7)","(5, 4)",5,"[[7, 7], [6, 7], [5, 7], [5, 6], [5, 5], [5, 4]]","{(7, 7): '2021-01-02 09:00:00', (6, 7): '2021-01-02 09:01:00', (5, 7): '2021-01-02 09:02:00', (5, 6): '2021-01-02 09:03:00', (5, 5): '2021-01-02 09:04:00', (5, 4): '2021-01-02 09:05:00'}"
1449,60,90,2021-01-02 07:27:00,19,27,3,"(0, 6)","(0, 9)",3,"[[0, 6], [0, 7], [0, 8], [0, 9]]","{(0, 6): '2021-01-02 07:27:00', (0, 7): '2021-01-02 07:28:00', (0, 8): '2021-01-02 07:29:00', (0, 9): '2021-01-02 07:30:00'}"
1450,47,38,2021-01-01 22:53:00,10,53,6,"(7, 4)","(8, 3)",2,"[[7, 4], [8, 4], [8, 3]]","{(7, 4): '2021-01-01 22:53:00', (8, 4): '2021-01-01 22:54:00', (8, 3): '2021-01-01 22:55:00'}"
1451,46,91,2021-01-01 17:22:00,5,22,2,"(6, 4)","(1, 9)",10,"[[6, 4], [5, 4], [4, 4], [3, 4], [2, 4], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [1, 9]]","{(6, 4): '2021-01-01 17:22:00', (5, 4): '2021-01-01 17:23:00', (4, 4): '2021-01-01 17:24:00', (3, 4): '2021-01-01 17:25:00', (2, 4): '2021-01-01 17:26:00', (1, 4): '2021-01-01 17:27:00', (1, 5): '2021-01-01 17:28:00', (1, 6): '2021-01-01 17:29:00', (1, 7): '2021-01-01 17:30:00', (1, 8): '2021-01-01 17:31:00', (1, 9): '2021-01-01 17:32:00'}"
1452,70,90,2021-01-02 06:56:00,18,56,3,"(0, 7)","(0, 9)",2,"[[0, 7], [0, 8], [0, 9]]","{(0, 7): '2021-01-02 06:56:00', (0, 8): '2021-01-02 06:57:00', (0, 9): '2021-01-02 06:58:00'}"
1453,37,68,2021-01-02 09:29:00,21,29,4,"(7, 3)","(8, 6)",4,"[[7, 3], [8, 3], [8, 4], [8, 5], [8, 6]]","{(7, 3): '2021-01-02 09:29:00', (8, 3): '2021-01-02 09:30:00', (8, 4): '2021-01-02 09:31:00', (8, 5): '2021-01-02 09:32:00', (8, 6): '2021-01-02 09:33:00'}"
1454,14,27,2021-01-01 17:56:00,5,56,1,"(4, 1)","(7, 2)",4,"[[4, 1], [5, 1], [6, 1], [7, 1], [7, 2]]","{(4, 1): '2021-01-01 17:56:00', (5, 1): '2021-01-01 17:57:00', (6, 1): '2021-01-01 17:58:00', (7, 1): '2021-01-01 17:59:00', (7, 2): '2021-01-01 18:00:00'}"
1455,18,99,2021-01-02 04:37:00,16,37,5,"(8, 1)","(9, 9)",9,"[[8, 1], [9, 1], [9, 2], [9, 3], [9, 4], [9, 5], [9, 6], [9, 7], [9, 8], [9, 9]]","{(8, 1): '2021-01-02 04:37:00', (9, 1): '2021-01-02 04:38:00', (9, 2): '2021-01-02 04:39:00', (9, 3): '2021-01-02 04:40:00', (9, 4): '2021-01-02 04:41:00', (9, 5): '2021-01-02 04:42:00', (9, 6): '2021-01-02 04:43:00', (9, 7): '2021-01-02 04:44:00', (9, 8): '2021-01-02 04:45:00', (9, 9): '2021-01-02 04:46:00'}"
1456,96,26,2021-01-02 00:03:00,12,3,3,"(6, 9)","(6, 2)",7,"[[6, 9], [6, 8], [6, 7], [6, 6], [6, 5], [6, 4], [6, 3], [6, 2]]","{(6, 9): '2021-01-02 00:03:00', (6, 8): '2021-01-02 00:04:00', (6, 7): '2021-01-02 00:05:00', (6, 6): '2021-01-02 00:06:00', (6, 5): '2021-01-02 00:07:00', (6, 4): '2021-01-02 00:08:00', (6, 3): '2021-01-02 00:09:00', (6, 2): '2021-01-02 00:10:00'}"
1457,14,33,2021-01-01 16:35:00,4,35,5,"(4, 1)","(3, 3)",3,"[[4, 1], [3, 1], [3, 2], [3, 3]]","{(4, 1): '2021-01-01 16:35:00', (3, 1): '2021-01-01 16:36:00', (3, 2): '2021-01-01 16:37:00', (3, 3): '2021-01-01 16:38:00'}"
1458,31,96,2021-01-01 22:40:00,10,40,5,"(1, 3)","(6, 9)",11,"[[1, 3], [2, 3], [3, 3], [4, 3], [5, 3], [6, 3], [6, 4], [6, 5], [6, 6], [6, 7], [6, 8], [6, 9]]","{(1, 3): '2021-01-01 22:40:00', (2, 3): '2021-01-01 22:41:00', (3, 3): '2021-01-01 22:42:00', (4, 3): '2021-01-01 22:43:00', (5, 3): '2021-01-01 22:44:00', (6, 3): '2021-01-01 22:45:00', (6, 4): '2021-01-01 22:46:00', (6, 5): '2021-01-01 22:47:00', (6, 6): '2021-01-01 22:48:00', (6, 7): '2021-01-01 22:49:00', (6, 8): '2021-01-01 22:50:00', (6, 9): '2021-01-01 22:51:00'}"
1459,97,54,2021-01-02 03:53:00,15,53,3,"(7, 9)","(4, 5)",7,"[[7, 9], [6, 9], [5, 9], [4, 9], [4, 8], [4, 7], [4, 6], [4, 5]]","{(7, 9): '2021-01-02 03:53:00', (6, 9): '2021-01-02 03:54:00', (5, 9): '2021-01-02 03:55:00', (4, 9): '2021-01-02 03:56:00', (4, 8): '2021-01-02 03:57:00', (4, 7): '2021-01-02 03:58:00', (4, 6): '2021-01-02 03:59:00', (4, 5): '2021-01-02 04:00:00'}"
1460,36,15,2021-01-02 07:49:00,19,49,2,"(6, 3)","(5, 1)",3,"[[6, 3], [5, 3], [5, 2], [5, 1]]","{(6, 3): '2021-01-02 07:49:00', (5, 3): '2021-01-02 07:50:00', (5, 2): '2021-01-02 07:51:00', (5, 1): '2021-01-02 07:52:00'}"
1461,57,10,2021-01-01 18:18:00,6,18,4,"(7, 5)","(0, 1)",11,"[[7, 5], [6, 5], [5, 5], [4, 5], [3, 5], [2, 5], [1, 5], [0, 5], [0, 4], [0, 3], [0, 2], [0, 1]]","{(7, 5): '2021-01-01 18:18:00', (6, 5): '2021-01-01 18:19:00', (5, 5): '2021-01-01 18:20:00', (4, 5): '2021-01-01 18:21:00', (3, 5): '2021-01-01 18:22:00', (2, 5): '2021-01-01 18:23:00', (1, 5): '2021-01-01 18:24:00', (0, 5): '2021-01-01 18:25:00', (0, 4): '2021-01-01 18:26:00', (0, 3): '2021-01-01 18:27:00', (0, 2): '2021-01-01 18:28:00', (0, 1): '2021-01-01 18:29:00'}"
1462,36,66,2021-01-01 21:13:00,9,13,1,"(6, 3)","(6, 6)",3,"[[6, 3], [6, 4], [6, 5], [6, 6]]","{(6, 3): '2021-01-01 21:13:00', (6, 4): '2021-01-01 21:14:00', (6, 5): '2021-01-01 21:15:00', (6, 6): '2021-01-01 21:16:00'}"
1463,43,96,2021-01-02 09:45:00,21,45,6,"(3, 4)","(6, 9)",8,"[[3, 4], [4, 4], [5, 4], [6, 4], [6, 5], [6, 6], [6, 7], [6, 8], [6, 9]]","{(3, 4): '2021-01-02 09:45:00', (4, 4): '2021-01-02 09:46:00', (5, 4): '2021-01-02 09:47:00', (6, 4): '2021-01-02 09:48:00', (6, 5): '2021-01-02 09:49:00', (6, 6): '2021-01-02 09:50:00', (6, 7): '2021-01-02 09:51:00', (6, 8): '2021-01-02 09:52:00', (6, 9): '2021-01-02 09:53:00'}"
1464,54,51,2021-01-02 10:37:00,22,37,6,"(4, 5)","(1, 5)",3,"[[4, 5], [3, 5], [2, 5], [1, 5]]","{(4, 5): '2021-01-02 10:37:00', (3, 5): '2021-01-02 10:38:00', (2, 5): '2021-01-02 10:39:00', (1, 5): '2021-01-02 10:40:00'}"
1465,4,8,2021-01-02 00:18:00,12,18,5,"(4, 0)","(8, 0)",4,"[[4, 0], [5, 0], [6, 0], [7, 0], [8, 0]]","{(4, 0): '2021-01-02 00:18:00', (5, 0): '2021-01-02 00:19:00', (6, 0): '2021-01-02 00:20:00', (7, 0): '2021-01-02 00:21:00', (8, 0): '2021-01-02 00:22:00'}"
1466,75,53,2021-01-02 02:48:00,14,48,0,"(5, 7)","(3, 5)",4,"[[5, 7], [4, 7], [3, 7], [3, 6], [3, 5]]","{(5, 7): '2021-01-02 02:48:00', (4, 7): '2021-01-02 02:49:00', (3, 7): '2021-01-02 02:50:00', (3, 6): '2021-01-02 02:51:00', (3, 5): '2021-01-02 02:52:00'}"
1467,42,14,2021-01-02 09:17:00,21,17,4,"(2, 4)","(4, 1)",5,"[[2, 4], [3, 4], [4, 4], [4, 3], [4, 2], [4, 1]]","{(2, 4): '2021-01-02 09:17:00', (3, 4): '2021-01-02 09:18:00', (4, 4): '2021-01-02 09:19:00', (4, 3): '2021-01-02 09:20:00', (4, 2): '2021-01-02 09:21:00', (4, 1): '2021-01-02 09:22:00'}"
1468,5,62,2021-01-02 02:03:00,14,3,5,"(5, 0)","(2, 6)",9,"[[5, 0], [4, 0], [3, 0], [2, 0], [2, 1], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6]]","{(5, 0): '2021-01-02 02:03:00', (4, 0): '2021-01-02 02:04:00', (3, 0): '2021-01-02 02:05:00', (2, 0): '2021-01-02 02:06:00', (2, 1): '2021-01-02 02:07:00', (2, 2): '2021-01-02 02:08:00', (2, 3): '2021-01-02 02:09:00', (2, 4): '2021-01-02 02:10:00', (2, 5): '2021-01-02 02:11:00', (2, 6): '2021-01-02 02:12:00'}"
1469,26,21,2021-01-01 13:09:00,1,9,6,"(6, 2)","(1, 2)",5,"[[6, 2], [5, 2], [4, 2], [3, 2], [2, 2], [1, 2]]","{(6, 2): '2021-01-01 13:09:00', (5, 2): '2021-01-01 13:10:00', (4, 2): '2021-01-01 13:11:00', (3, 2): '2021-01-01 13:12:00', (2, 2): '2021-01-01 13:13:00', (1, 2): '2021-01-01 13:14:00'}"
1470,22,53,2021-01-02 07:58:00,19,58,5,"(2, 2)","(3, 5)",4,"[[2, 2], [3, 2], [3, 3], [3, 4], [3, 5]]","{(2, 2): '2021-01-02 07:58:00', (3, 2): '2021-01-02 07:59:00', (3, 3): '2021-01-02 08:00:00', (3, 4): '2021-01-02 08:01:00', (3, 5): '2021-01-02 08:02:00'}"
1471,3,20,2021-01-02 06:21:00,18,21,1,"(3, 0)","(0, 2)",5,"[[3, 0], [2, 0], [1, 0], [0, 0], [0, 1], [0, 2]]","{(3, 0): '2021-01-02 06:21:00', (2, 0): '2021-01-02 06:22:00', (1, 0): '2021-01-02 06:23:00', (0, 0): '2021-01-02 06:24:00', (0, 1): '2021-01-02 06:25:00', (0, 2): '2021-01-02 06:26:00'}"
1472,20,70,2021-01-02 01:46:00,13,46,4,"(0, 2)","(0, 7)",5,"[[0, 2], [0, 3], [0, 4], [0, 5], [0, 6], [0, 7]]","{(0, 2): '2021-01-02 01:46:00', (0, 3): '2021-01-02 01:47:00', (0, 4): '2021-01-02 01:48:00', (0, 5): '2021-01-02 01:49:00', (0, 6): '2021-01-02 01:50:00', (0, 7): '2021-01-02 01:51:00'}"
1473,83,45,2021-01-02 10:47:00,22,47,6,"(3, 8)","(5, 4)",6,"[[3, 8], [4, 8], [5, 8], [5, 7], [5, 6], [5, 5], [5, 4]]","{(3, 8): '2021-01-02 10:47:00', (4, 8): '2021-01-02 10:48:00', (5, 8): '2021-01-02 10:49:00', (5, 7): '2021-01-02 10:50:00', (5, 6): '2021-01-02 10:51:00', (5, 5): '2021-01-02 10:52:00', (5, 4): '2021-01-02 10:53:00'}"
1474,36,41,2021-01-01 12:52:00,0,52,1,"(6, 3)","(1, 4)",6,"[[6, 3], [5, 3], [4, 3], [3, 3], [2, 3], [1, 3], [1, 4]]","{(6, 3): '2021-01-01 12:52:00', (5, 3): '2021-01-01 12:53:00', (4, 3): '2021-01-01 12:54:00', (3, 3): '2021-01-01 12:55:00', (2, 3): '2021-01-01 12:56:00', (1, 3): '2021-01-01 12:57:00', (1, 4): '2021-01-01 12:58:00'}"
1475,76,52,2021-01-01 19:23:00,7,23,5,"(6, 7)","(2, 5)",6,"[[6, 7], [5, 7], [4, 7], [3, 7], [2, 7], [2, 6], [2, 5]]","{(6, 7): '2021-01-01 19:23:00', (5, 7): '2021-01-01 19:24:00', (4, 7): '2021-01-01 19:25:00', (3, 7): '2021-01-01 19:26:00', (2, 7): '2021-01-01 19:27:00', (2, 6): '2021-01-01 19:28:00', (2, 5): '2021-01-01 19:29:00'}"
1476,14,46,2021-01-01 19:49:00,7,49,5,"(4, 1)","(6, 4)",5,"[[4, 1], [5, 1], [6, 1], [6, 2], [6, 3], [6, 4]]","{(4, 1): '2021-01-01 19:49:00', (5, 1): '2021-01-01 19:50:00', (6, 1): '2021-01-01 19:51:00', (6, 2): '2021-01-01 19:52:00', (6, 3): '2021-01-01 19:53:00', (6, 4): '2021-01-01 19:54:00'}"
1477,59,22,2021-01-02 06:25:00,18,25,3,"(9, 5)","(2, 2)",10,"[[9, 5], [8, 5], [7, 5], [6, 5], [5, 5], [4, 5], [3, 5], [2, 5], [2, 4], [2, 3], [2, 2]]","{(9, 5): '2021-01-02 06:25:00', (8, 5): '2021-01-02 06:26:00', (7, 5): '2021-01-02 06:27:00', (6, 5): '2021-01-02 06:28:00', (5, 5): '2021-01-02 06:29:00', (4, 5): '2021-01-02 06:30:00', (3, 5): '2021-01-02 06:31:00', (2, 5): '2021-01-02 06:32:00', (2, 4): '2021-01-02 06:33:00', (2, 3): '2021-01-02 06:34:00', (2, 2): '2021-01-02 06:35:00'}"
1478,6,77,2021-01-02 03:29:00,15,29,6,"(6, 0)","(7, 7)",8,"[[6, 0], [7, 0], [7, 1], [7, 2], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7]]","{(6, 0): '2021-01-02 03:29:00', (7, 0): '2021-01-02 03:30:00', (7, 1): '2021-01-02 03:31:00', (7, 2): '2021-01-02 03:32:00', (7, 3): '2021-01-02 03:33:00', (7, 4): '2021-01-02 03:34:00', (7, 5): '2021-01-02 03:35:00', (7, 6): '2021-01-02 03:36:00', (7, 7): '2021-01-02 03:37:00'}"
1479,54,84,2021-01-02 05:06:00,17,6,6,"(4, 5)","(4, 8)",3,"[[4, 5], [4, 6], [4, 7], [4, 8]]","{(4, 5): '2021-01-02 05:06:00', (4, 6): '2021-01-02 05:07:00', (4, 7): '2021-01-02 05:08:00', (4, 8): '2021-01-02 05:09:00'}"
1480,77,91,2021-01-01 14:04:00,2,4,6,"(7, 7)","(1, 9)",8,"[[7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [2, 7], [1, 7], [1, 8], [1, 9]]","{(7, 7): '2021-01-01 14:04:00', (6, 7): '2021-01-01 14:05:00', (5, 7): '2021-01-01 14:06:00', (4, 7): '2021-01-01 14:07:00', (3, 7): '2021-01-01 14:08:00', (2, 7): '2021-01-01 14:09:00', (1, 7): '2021-01-01 14:10:00', (1, 8): '2021-01-01 14:11:00', (1, 9): '2021-01-01 14:12:00'}"
1481,1,52,2021-01-02 10:14:00,22,14,4,"(1, 0)","(2, 5)",6,"[[1, 0], [2, 0], [2, 1], [2, 2], [2, 3], [2, 4], [2, 5]]","{(1, 0): '2021-01-02 10:14:00', (2, 0): '2021-01-02 10:15:00', (2, 1): '2021-01-02 10:16:00', (2, 2): '2021-01-02 10:17:00', (2, 3): '2021-01-02 10:18:00', (2, 4): '2021-01-02 10:19:00', (2, 5): '2021-01-02 10:20:00'}"
1482,51,75,2021-01-02 11:57:00,23,57,5,"(1, 5)","(5, 7)",6,"[[1, 5], [2, 5], [3, 5], [4, 5], [5, 5], [5, 6], [5, 7]]","{(1, 5): '2021-01-02 11:57:00', (2, 5): '2021-01-02 11:58:00', (3, 5): '2021-01-02 11:59:00', (4, 5): '2021-01-02 12:00:00', (5, 5): '2021-01-02 12:01:00', (5, 6): '2021-01-02 12:02:00', (5, 7): '2021-01-02 12:03:00'}"
1483,25,97,2021-01-02 01:39:00,13,39,5,"(5, 2)","(7, 9)",9,"[[5, 2], [6, 2], [7, 2], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [7, 9]]","{(5, 2): '2021-01-02 01:39:00', (6, 2): '2021-01-02 01:40:00', (7, 2): '2021-01-02 01:41:00', (7, 3): '2021-01-02 01:42:00', (7, 4): '2021-01-02 01:43:00', (7, 5): '2021-01-02 01:44:00', (7, 6): '2021-01-02 01:45:00', (7, 7): '2021-01-02 01:46:00', (7, 8): '2021-01-02 01:47:00', (7, 9): '2021-01-02 01:48:00'}"
1484,26,93,2021-01-01 16:54:00,4,54,4,"(6, 2)","(3, 9)",10,"[[6, 2], [5, 2], [4, 2], [3, 2], [3, 3], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [3, 9]]","{(6, 2): '2021-01-01 16:54:00', (5, 2): '2021-01-01 16:55:00', (4, 2): '2021-01-01 16:56:00', (3, 2): '2021-01-01 16:57:00', (3, 3): '2021-01-01 16:58:00', (3, 4): '2021-01-01 16:59:00', (3, 5): '2021-01-01 17:00:00', (3, 6): '2021-01-01 17:01:00', (3, 7): '2021-01-01 17:02:00', (3, 8): '2021-01-01 17:03:00', (3, 9): '2021-01-01 17:04:00'}"
1485,42,54,2021-01-01 14:00:00,2,0,2,"(2, 4)","(4, 5)",3,"[[2, 4], [3, 4], [4, 4], [4, 5]]","{(2, 4): '2021-01-01 14:00:00', (3, 4): '2021-01-01 14:01:00', (4, 4): '2021-01-01 14:02:00', (4, 5): '2021-01-01 14:03:00'}"
1486,32,53,2021-01-02 07:28:00,19,28,6,"(2, 3)","(3, 5)",3,"[[2, 3], [3, 3], [3, 4], [3, 5]]","{(2, 3): '2021-01-02 07:28:00', (3, 3): '2021-01-02 07:29:00', (3, 4): '2021-01-02 07:30:00', (3, 5): '2021-01-02 07:31:00'}"
1487,90,2,2021-01-01 12:47:00,0,47,5,"(0, 9)","(2, 0)",11,"[[0, 9], [1, 9], [2, 9], [2, 8], [2, 7], [2, 6], [2, 5], [2, 4], [2, 3], [2, 2], [2, 1], [2, 0]]","{(0, 9): '2021-01-01 12:47:00', (1, 9): '2021-01-01 12:48:00', (2, 9): '2021-01-01 12:49:00', (2, 8): '2021-01-01 12:50:00', (2, 7): '2021-01-01 12:51:00', (2, 6): '2021-01-01 12:52:00', (2, 5): '2021-01-01 12:53:00', (2, 4): '2021-01-01 12:54:00', (2, 3): '2021-01-01 12:55:00', (2, 2): '2021-01-01 12:56:00', (2, 1): '2021-01-01 12:57:00', (2, 0): '2021-01-01 12:58:00'}"
1488,28,10,2021-01-02 11:37:00,23,37,2,"(8, 2)","(0, 1)",9,"[[8, 2], [7, 2], [6, 2], [5, 2], [4, 2], [3, 2], [2, 2], [1, 2], [0, 2], [0, 1]]","{(8, 2): '2021-01-02 11:37:00', (7, 2): '2021-01-02 11:38:00', (6, 2): '2021-01-02 11:39:00', (5, 2): '2021-01-02 11:40:00', (4, 2): '2021-01-02 11:41:00', (3, 2): '2021-01-02 11:42:00', (2, 2): '2021-01-02 11:43:00', (1, 2): '2021-01-02 11:44:00', (0, 2): '2021-01-02 11:45:00', (0, 1): '2021-01-02 11:46:00'}"
1489,47,24,2021-01-01 14:46:00,2,46,5,"(7, 4)","(4, 2)",5,"[[7, 4], [6, 4], [5, 4], [4, 4], [4, 3], [4, 2]]","{(7, 4): '2021-01-01 14:46:00', (6, 4): '2021-01-01 14:47:00', (5, 4): '2021-01-01 14:48:00', (4, 4): '2021-01-01 14:49:00', (4, 3): '2021-01-01 14:50:00', (4, 2): '2021-01-01 14:51:00'}"
1490,60,51,2021-01-02 08:26:00,20,26,0,"(0, 6)","(1, 5)",2,"[[0, 6], [1, 6], [1, 5]]","{(0, 6): '2021-01-02 08:26:00', (1, 6): '2021-01-02 08:27:00', (1, 5): '2021-01-02 08:28:00'}"
1491,75,50,2021-01-02 11:41:00,23,41,3,"(5, 7)","(0, 5)",7,"[[5, 7], [4, 7], [3, 7], [2, 7], [1, 7], [0, 7], [0, 6], [0, 5]]","{(5, 7): '2021-01-02 11:41:00', (4, 7): '2021-01-02 11:42:00', (3, 7): '2021-01-02 11:43:00', (2, 7): '2021-01-02 11:44:00', (1, 7): '2021-01-02 11:45:00', (0, 7): '2021-01-02 11:46:00', (0, 6): '2021-01-02 11:47:00', (0, 5): '2021-01-02 11:48:00'}"
1492,91,58,2021-01-01 15:25:00,3,25,0,"(1, 9)","(8, 5)",11,"[[1, 9], [2, 9], [3, 9], [4, 9], [5, 9], [6, 9], [7, 9], [8, 9], [8, 8], [8, 7], [8, 6], [8, 5]]","{(1, 9): '2021-01-01 15:25:00', (2, 9): '2021-01-01 15:26:00', (3, 9): '2021-01-01 15:27:00', (4, 9): '2021-01-01 15:28:00', (5, 9): '2021-01-01 15:29:00', (6, 9): '2021-01-01 15:30:00', (7, 9): '2021-01-01 15:31:00', (8, 9): '2021-01-01 15:32:00', (8, 8): '2021-01-01 15:33:00', (8, 7): '2021-01-01 15:34:00', (8, 6): '2021-01-01 15:35:00', (8, 5): '2021-01-01 15:36:00'}"
1493,45,45,2021-01-01 13:31:00,1,31,4,"(5, 4)","(5, 4)",0,"[[5, 4]]","{(5, 4): '2021-01-01 13:31:00'}"
1494,91,73,2021-01-02 06:05:00,18,5,3,"(1, 9)","(3, 7)",4,"[[1, 9], [2, 9], [3, 9], [3, 8], [3, 7]]","{(1, 9): '2021-01-02 06:05:00', (2, 9): '2021-01-02 06:06:00', (3, 9): '2021-01-02 06:07:00', (3, 8): '2021-01-02 06:08:00', (3, 7): '2021-01-02 06:09:00'}"
1495,61,90,2021-01-02 08:04:00,20,4,4,"(1, 6)","(0, 9)",4,"[[1, 6], [0, 6], [0, 7], [0, 8], [0, 9]]","{(1, 6): '2021-01-02 08:04:00', (0, 6): '2021-01-02 08:05:00', (0, 7): '2021-01-02 08:06:00', (0, 8): '2021-01-02 08:07:00', (0, 9): '2021-01-02 08:08:00'}"
1496,64,25,2021-01-02 11:30:00,23,30,1,"(4, 6)","(5, 2)",5,"[[4, 6], [5, 6], [5, 5], [5, 4], [5, 3], [5, 2]]","{(4, 6): '2021-01-02 11:30:00', (5, 6): '2021-01-02 11:31:00', (5, 5): '2021-01-02 11:32:00', (5, 4): '2021-01-02 11:33:00', (5, 3): '2021-01-02 11:34:00', (5, 2): '2021-01-02 11:35:00'}"
1497,95,80,2021-01-01 22:21:00,10,21,2,"(5, 9)","(0, 8)",6,"[[5, 9], [4, 9], [3, 9], [2, 9], [1, 9], [0, 9], [0, 8]]","{(5, 9): '2021-01-01 22:21:00', (4, 9): '2021-01-01 22:22:00', (3, 9): '2021-01-01 22:23:00', (2, 9): '2021-01-01 22:24:00', (1, 9): '2021-01-01 22:25:00', (0, 9): '2021-01-01 22:26:00', (0, 8): '2021-01-01 22:27:00'}"
1498,97,93,2021-01-01 18:15:00,6,15,1,"(7, 9)","(3, 9)",4,"[[7, 9], [6, 9], [5, 9], [4, 9], [3, 9]]","{(7, 9): '2021-01-01 18:15:00', (6, 9): '2021-01-01 18:16:00', (5, 9): '2021-01-01 18:17:00', (4, 9): '2021-01-01 18:18:00', (3, 9): '2021-01-01 18:19:00'}"
1499,68,37,2021-01-02 09:28:00,21,28,5,"(8, 6)","(7, 3)",4,"[[8, 6], [7, 6], [7, 5], [7, 4], [7, 3]]","{(8, 6): '2021-01-02 09:28:00', (7, 6): '2021-01-02 09:29:00', (7, 5): '2021-01-02 09:30:00', (7, 4): '2021-01-02 09:31:00', (7, 3): '2021-01-02 09:32:00'}"
1500,81,63,2021-01-02 11:17:00,23,17,5,"(1, 8)","(3, 6)",4,"[[1, 8], [2, 8], [3, 8], [3, 7], [3, 6]]","{(1, 8): '2021-01-02 11:17:00', (2, 8): '2021-01-02 11:18:00', (3, 8): '2021-01-02 11:19:00', (3, 7): '2021-01-02 11:20:00', (3, 6): '2021-01-02 11:21:00'}"
1501,31,48,2021-01-02 07:30:00,19,30,5,"(1, 3)","(8, 4)",8,"[[1, 3], [2, 3], [3, 3], [4, 3], [5, 3], [6, 3], [7, 3], [8, 3], [8, 4]]","{(1, 3): '2021-01-02 07:30:00', (2, 3): '2021-01-02 07:31:00', (3, 3): '2021-01-02 07:32:00', (4, 3): '2021-01-02 07:33:00', (5, 3): '2021-01-02 07:34:00', (6, 3): '2021-01-02 07:35:00', (7, 3): '2021-01-02 07:36:00', (8, 3): '2021-01-02 07:37:00', (8, 4): '2021-01-02 07:38:00'}"
1502,26,67,2021-01-02 11:09:00,23,9,0,"(6, 2)","(7, 6)",5,"[[6, 2], [7, 2], [7, 3], [7, 4], [7, 5], [7, 6]]","{(6, 2): '2021-01-02 11:09:00', (7, 2): '2021-01-02 11:10:00', (7, 3): '2021-01-02 11:11:00', (7, 4): '2021-01-02 11:12:00', (7, 5): '2021-01-02 11:13:00', (7, 6): '2021-01-02 11:14:00'}"
1503,25,26,2021-01-02 08:04:00,20,4,0,"(5, 2)","(6, 2)",1,"[[5, 2], [6, 2]]","{(5, 2): '2021-01-02 08:04:00', (6, 2): '2021-01-02 08:05:00'}"
